name,wikiname,party,area,area_wikiname,notes,term
Aaron Gilmore,Aaron Gilmore,New Zealand National Party,List,"",Returned to parliament January 2013; resigned May 2013,50
Alfred Ngaro,Alfred Ngaro,New Zealand National Party,List,"","",50
Amy Adams,Amy Adams (politician),New Zealand National Party,Selwyn,Selwyn (New Zealand electorate),Minister for Communications and Information Technology Minister for the Environment Associate Minister for Canterbury Earthquake Recovery,50
Andrew Little,Andrew Little (New Zealand politician),New Zealand Labour Party,List,"",Spokesperson for ACC,50
Andrew Williams,Andrew Williams (New Zealand politician),New Zealand First,List,"","Spokesperson, Building and Construction Spokesperson, Commerce Spokesperson, Consumer Affairs Spokesperson, Conservation Spokesperson, Energy Spokesperson, Environment / RMA Spokesperson, Internal Affairs Spokesperson, Local Government Spokesperson, Revenue Spokesperson, Sports and Recreation Spokesperson, Veterans' Affairs Associate Spokesperson, Finance Associate Spokesperson, Foreign Affairs and Trade Associate Spokesperson, SOEs",50
Anne Tolley,Anne Tolley,New Zealand National Party,East Coast,East Coast (New Zealand electorate),Minister of Police Minister of Corrections Deputy Leader of the House,50
Annette King,Annette King,New Zealand Labour Party,Rongotai,Rongotai (New Zealand electorate),"Spokesperson for Housing, and Local Government",50
Asenati Taylor,Asenati Taylor,New Zealand First,List,"","Spokesperson, Corrections Spokesperson, Ethnic Affairs Spokesperson, Pacific Island Affairs Spokesperson, Social Policy / Welfare Associate Spokesperson, Housing",50
Barbara Stewart,Barbara Stewart,New Zealand First,List,"","Party Whip Spokesperson, ACC Spokesperson, Disability Issues Spokesperson, Family Affairs Spokesperson, Health Spokesperson, Labour and Industrial Relations Spokesperson, Tourism Associate Spokesperson, Senior Citizens",50
Bill English,Bill English,New Zealand National Party,Clutha-Southland,Clutha-Southland,Deputy Prime Minister Minister of Finance Deputy Leader of the National Party,50
Brendan Horan,Brendan Horan,New Zealand First,List,"",Expelled from party; remained in Parliament as an Independent,50
Brendan Horan,Brendan Horan,NZ Independent Coalition,List,"",Remained in Parliament as a MP for the NZ Independent Coalition after expulsion from the NZ First party,50
Cam Calder,Cam Calder,New Zealand National Party,List,"","Deputy-Chairperson, Justice and Electoral Committee",50
Carol Beaumont,Carol Beaumont,New Zealand Labour Party,List,"","* Returned to Parliament as a List MP, replacing Charles Chauvel",50
Catherine Delahunty,Catherine Delahunty,Green Party of Aotearoa New Zealand,List,"",Spokesperson for Education Spokesperson for Mining (Terrestrial) Spokesperson for Toxics Spokesperson for Te Tiriti o Waitangi,50
Charles Chauvel,Charles Chauvel (politician),New Zealand Labour Party,List,"","Resigned March 2013, replaced by Carol Beaumont Shadow Attorney General Spokesperson for Justice, Courts, Corrections, and Arts, Culture and Heritage Chairperson, Regulations Review Committee",50
Chester Borrows,Chester Borrows,New Zealand National Party,Whanganui,Whanganui (New Zealand electorate),Associate Minister of Justice Associate Minister of Social Development,50
Chris Auchinvole,Chris Auchinvole,New Zealand National Party,List,"","Deputy-Chairperson, Government Administration Committee",50
Chris Finlayson,Chris Finlayson,New Zealand National Party,List,"","Attorney-General Minister for Treaty of Waitangi Negotiations Minister for Arts, Culture and Heritage Associate Minister of Maori Affairs Chairperson, Privileges Committee",50
Chris Hipkins,Chris Hipkins,New Zealand Labour Party,Rimutaka,Rimutaka (New Zealand electorate),Senior Whip Spokesperson for State Services Associate Spokesperson for Education,50
Chris Tremain,Chris Tremain,New Zealand National Party,Napier,Napier (New Zealand electorate),Minister of Local Government Minister of Internal Affairs Associate Minister of Tourism,50
Clare Curran,Clare Curran,New Zealand Labour Party,Dunedin South,Dunedin South,"Spokesperson for Communications and Information Technology, Broadcasting, Open Government, and Disability Issues",50
Claudette Hauiti,Claudette Hauiti,New Zealand National Party,List,"",Entered Parliament May 2013,50
Clayton Cosgrove,Clayton Cosgrove,New Zealand Labour Party,List,"","Spokesperson for State Owned Enterprises, Commerce, Small Business, and Trade Negotiations Associate Spokesperson for Finance Deputy-Chairperson, Commerce Committee",50
