id,name__en,name,name__be,name__ru,name__pl,image,gender,birth_date,identifier__freebase,given_name,identifier__IIAF,family_name,wikipedia__en,wikipedia__be,wikipedia__ru,wikipedia__pl,name__pt,name__fr,name__fi,name__uk,name__it,name__be_tarask,name__et,name__de,name__ja,name__sv,name__nl,name__es,name__nb,wikipedia__be_x_old,wikipedia__de,wikipedia__et,wikipedia__fi,wikipedia__fr,wikipedia__it,wikipedia__ja,wikipedia__nl,wikipedia__no,wikipedia__pt,wikipedia__sv,wikipedia__uk,wikipedia__plwikiquote
Q10444907,Yauhien Abalenski,Yauhien Abalenski,Яўген Абаленскі,"Оболенский, Евгений Вячеславович",Jauhien Abalenski,,male,1973-03-30,,,,,,Яўген Вячаслававіч Абаленскі,,Jauhien Abalenski,,Yauhien Abalenski,,,,Яўген Абаленскі,,,,,Yauhien Abalenski,Yauhien Abalenski,,,,,,,,,,,,,,Jauhien Abalenski
Q11712387,,Inesa Klaszczuk,,,Inesa Klaszczuk,,female,,,,,,,,,Inesa Klaszczuk,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11753400,Leanid Apanasyuk,Leanid Apanasyuk,Леанід Апанасюк,"Апанасюк, Леонид Николаевич",Leanid Apanasiuk,,male,1956-01-08,,Leanid,,,,,,Leanid Apanasiuk,,Leanid Apanasyuk,,,,Леанід Апанасюк,,,,,Leanid Apanasyuk,,,,,,,,,,,,,,,
Q11780622,,Mikałaj Samasiejka,,,Mikałaj Samasiejka,,male,,,Mikalay,,,,,,Mikałaj Samasiejka,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14394031,Uladzimir Bazanau,Uladzimir Bazanau,,,Uładzimir Bazanau,,male,1957-11-29,,Uladzimir,,,,,,Uładzimir Bazanau,,Uladzimir Bazanau,,,,,,Uladzimir Bazanau,,,,Uladzimir Bazanau,,,,,,,,,,,,,,
Q14421992,,Аляксандр Пятровіч Мякіннік,Аляксандр Пятровіч Мякіннік,,Alaksandr Miakinnik,,male,1968-07-17,,Alyaksandr,,,,,,Alaksandr Miakinnik,,,,,Alaksandr Miakinnik,,,,,,,,,,,,,,,,,,,,,Alaksandr Miakinnik
Q14422105,,Mikałaj Rasocha,,,Mikałaj Rasocha,,male,1958-08-03,,Mikalay,,,,,,Mikałaj Rasocha,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14866893,Alyaksandr Yarashevich,Alyaksandr Yarashevich,Аляксандр Ярашэвіч,Александр Ярошевич,Alaksandr Jaraszewicz,,male,1963-06-07,,Alyaksandr,,,,,,Alaksandr Jaraszewicz,,,,,,Аляксандар Ярашэвіч,,,,,,,,,,,,,,,,,,,,
Q14917844,Adam Bashkou,Adam Bashkou,Адам Башкоў,"Башков, Адам Семенович",Adam Baszkou,,male,1951-05-26,,Adam,,,,,,Adam Baszkou,,,,,,Адам Башкоў,,,,,,,,,,,,,,,,,,,,
Q14917860,,Alena Bierasniewa,,,Alena Bierasniewa,,female,,,Alena,,,,,,Alena Bierasniewa,,,,,,,,,,,,,,,,,,,,,,,,,,
