id,name,photo,email,source,given_name,family_name,start_date,end_date,party,term
5EAF904A87670106C22577BC0021B92A,Armands Krauze,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/5eaf904a87670106c22577bc0021b92a/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/5EAF904A87670106C22577BC0021B92A?OpenDocument&lang=EN,Armands,Krauze,2010-11-02,2010-11-04,Union of Greens and Farmers,10
D142D7E871EFC501C22577BC0021B9AA,Juris Silovs,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/d142d7e871efc501c22577bc0021b9aa/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/D142D7E871EFC501C22577BC0021B9AA?OpenDocument&lang=EN,Juris,Silovs,2010-11-02,2011-04-28,Concord Centre,10
971C12A944112D96C22577BC0021B92D,Andris Berzins (Vidzeme),http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/971c12a944112d96c22577bc0021b92d/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/971C12A944112D96C22577BC0021B92D?OpenDocument&lang=EN,Andris,Berzins (Vidzeme),2010-11-02,2011-07-01,Union of Greens and Farmers,10
94ECB6E8FEF1A596C22577BC0021BA0B,Klavs Olsteins,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/94ecb6e8fef1a596c22577bc0021ba0b/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/94ECB6E8FEF1A596C22577BC0021BA0B?OpenDocument&lang=EN,Klavs,Olsteins,2010-11-03,2011-07-01,Unity,10
9E50E4EA16516A64C22577BC0021BAC2,Linda Murniece,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/9e50e4ea16516a64c22577bc0021bac2/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/9E50E4EA16516A64C22577BC0021BAC2?OpenDocument&lang=EN,Linda,Murniece,2010-11-04,2010-11-17,Unity,10
0A9FB7CA8A9D3320C22577BC0021B94C,Guntars Galvanovskis,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/0a9fb7ca8a9d3320c22577bc0021b94c/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/0A9FB7CA8A9D3320C22577BC0021B94C?OpenDocument&lang=EN,Guntars,Galvanovskis,2010-11-02,2011-07-21,Unity,10
406F80AAC014C68DC22577BC0021BA63,Gundars Daudze,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/406f80aac014c68dc22577bc0021ba63/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/406F80AAC014C68DC22577BC0021BA63?OpenDocument&lang=EN,Gundars,Daudze,2010-11-02,2011-08-04,Union of Greens and Farmers,10
0D1F3522C80DB9BCC22577BC0021BA53,Didzis Zemmers,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/0d1f3522c80db9bcc22577bc0021ba53/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/0D1F3522C80DB9BCC22577BC0021BA53?OpenDocument&lang=EN,Didzis,Zemmers,2010-11-04,2011-10-17,Union of Greens and Farmers,10
FB5A51CD56D2BCFFC22577BC0021B8D1,Aleksandrs Sakovskis,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/fb5a51cd56d2bcffc22577bc0021b8d1/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/FB5A51CD56D2BCFFC22577BC0021B8D1?OpenDocument&lang=EN,Aleksandrs,Sakovskis,2010-11-02,2011-10-17,Concord Centre,10
66DC8C2ACB454021C22577BC0021BAD3,Inese Aizstrauta,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/66dc8c2acb454021c22577bc0021bad3/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/66DC8C2ACB454021C22577BC0021BAD3?OpenDocument&lang=EN,Inese,Aizstrauta,2011-07-01,2011-10-17,Union of Greens and Farmers,10
8F4EDD948014C3D7C22577BC0021B9B0,Nikolajs Kabanovs,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/8f4edd948014c3d7c22577bc0021b9b0/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/8F4EDD948014C3D7C22577BC0021B9B0?OpenDocument&lang=EN,Nikolajs,Kabanovs,2010-11-02,2011-10-17,Concord Centre,10
C5AE36D27693CFFFC22577BC0021B8EF,Aleksandrs Jakimovs,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/c5ae36d27693cfffc22577bc0021b8ef/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/C5AE36D27693CFFFC22577BC0021B8EF?OpenDocument&lang=EN,Aleksandrs,Jakimovs,2010-11-02,2011-10-17,Concord Centre,10
4B35567E55EDC35BC22577BC0021BA18,Aivars Volfs,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/4b35567e55edc35bc22577bc0021ba18/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/4B35567E55EDC35BC22577BC0021BA18?OpenDocument&lang=EN,Aivars,Volfs,2010-11-04,2011-10-17,Unity,10
43C15DBADEBDC5F0C22577BC0021B9F5,Guntis Ulmanis,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/43c15dbadebdc5f0c22577bc0021b9f5/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/43C15DBADEBDC5F0C22577BC0021B9F5?OpenDocument&lang=EN,Guntis,Ulmanis,2010-11-02,2011-10-17,For a Good Latvia,10
81C941CA3543EB64C22577BC0021B929,Iveta Grigule,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/81c941ca3543eb64c22577bc0021b929/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/81C941CA3543EB64C22577BC0021B929?OpenDocument&lang=EN,Iveta,Grigule,2010-11-02,2011-10-17,Union of Greens and Farmers,10
7BD4A552A82465B7C22577BC0021B8E1,Arturs Rubiks,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/7bd4a552a82465b7c22577bc0021b8e1/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/7BD4A552A82465B7C22577BC0021B8E1?OpenDocument&lang=EN,Arturs,Rubiks,2010-11-02,2010-11-03,Concord Centre,10
7BD4A552A82465B7C22577BC0021B8E1,Arturs Rubiks,http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/7bd4a552a82465b7c22577bc0021b8e1/Foto/0.84?OpenElement&FieldElemFormat=jpg,"",http://titania.saeima.lv/personal/deputati/saeima10_depweb_public.nsf/0/7BD4A552A82465B7C22577BC0021B8E1?OpenDocument&lang=EN,Arturs,Rubiks,2010-11-03,2011-10-17,Concord Centre,10
