id,name,photo,email,source,given_name,family_name,start_date,end_date,party,term
4451AA09CE1C705AC22579100046C550,Ilona Jursevska,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4451aa09ce1c705ac22579100046c550/Foto/0.84?OpenElement&FieldElemFormat=jpg,Ilona.Jursevska@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4451AA09CE1C705AC22579100046C550?OpenDocument&lang=EN,Ilona,Jursevska,2011-10-20,2012-03-08,Union of Greens and Farmers,11
4451AA09CE1C705AC22579100046C550,Ilona Jursevska,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4451aa09ce1c705ac22579100046c550/Foto/0.84?OpenElement&FieldElemFormat=jpg,Ilona.Jursevska@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4451AA09CE1C705AC22579100046C550?OpenDocument&lang=EN,Ilona,Jursevska,2013-01-10,2013-06-13,Union of Greens and Farmers,11
4BD7B8A721DAEB7BC22579100046C549,Janis Lacplesis,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4bd7b8a721daeb7bc22579100046c549/Foto/0.84?OpenElement&FieldElemFormat=jpg,Janis.Lacplesis@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4BD7B8A721DAEB7BC22579100046C549?OpenDocument&lang=EN,Janis,Lacplesis,2011-10-18,2013-07-01,Unity,11
95BD519BB37AC727C22579100046C608,Raivis Blumfelds,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/95bd519bb37ac727c22579100046c608/Foto/0.84?OpenElement&FieldElemFormat=jpg,Raivis.Blumfelds@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/95BD519BB37AC727C22579100046C608?OpenDocument&lang=EN,Raivis,Blumfelds,2011-11-03,2012-07-05,National Alliance of All for Latvia! and For Fatherland and Freedom/LNNK,11
7787817416BEED15C22579100046C4A8,Dmitrijs Rodionovs,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/7787817416beed15c22579100046c4a8/Foto/0.84?OpenElement&FieldElemFormat=jpg,Dmitrijs.Rodionovs@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/7787817416BEED15C22579100046C4A8?OpenDocument&lang=EN,Dmitrijs,Rodionovs,2011-10-17,2013-07-01,Concord Centre,11
04ACCBEA603E2B83C22579100046C4EF,Ingmars Caklais,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/04accbea603e2b83c22579100046c4ef/Foto/0.84?OpenElement&FieldElemFormat=jpg,Ingmars.Caklais@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/04ACCBEA603E2B83C22579100046C4EF?OpenDocument&lang=EN,Ingmars,Caklais,2011-11-03,2013-09-12,Unity,11
AC6F5D0FAE51F5AEC22579100046C63D,Edmunds Sprudzs,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/ac6f5d0fae51f5aec22579100046c63d/Foto/0.84?OpenElement&FieldElemFormat=jpg,Edmunds.Sprudzs@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/AC6F5D0FAE51F5AEC22579100046C63D?OpenDocument&lang=EN,Edmunds,Sprudzs,2011-10-18,2011-11-03,Zatlers' Reform Party,11
4BF56187CA14A635C22579100046C542,Rasma Karklina,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4bf56187ca14a635c22579100046c542/Foto/0.84?OpenElement&FieldElemFormat=jpg,Rasma.Karklina@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/4BF56187CA14A635C22579100046C542?OpenDocument&lang=EN,Rasma,Karklina,2011-11-03,2014-01-23,Unity,11
18ED2A28B6F4C44AC22579100046C62C,Lelde Stumbre,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/18ed2a28b6f4c44ac22579100046c62c/Foto/0.84?OpenElement&FieldElemFormat=jpg,Lelde.Stumbre@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/18ED2A28B6F4C44AC22579100046C62C?OpenDocument&lang=EN,Lelde,Stumbre,2014-01-30,2014-03-20,National Alliance of All for Latvia! and For Fatherland and Freedom/LNNK,11
55EAA939E4FEE08BC22579100046C5E1,Karlis Kreslins,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/55eaa939e4fee08bc22579100046c5e1/Foto/0.84?OpenElement&FieldElemFormat=jpg,Karlis.Kreslins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/55EAA939E4FEE08BC22579100046C5E1?OpenDocument&lang=EN,Karlis,Kreslins,2011-10-17,2014-04-10,National Alliance of All for Latvia! and For Fatherland and Freedom/LNNK,11
19C388ADE5272A21C22579100046C502,Artis Pabriks,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/19c388ade5272a21c22579100046c502/Foto/0.84?OpenElement&FieldElemFormat=jpg,Artis.Pabriks@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/19C388ADE5272A21C22579100046C502?OpenDocument&lang=EN,Artis,Pabriks,2011-10-18,2011-11-03,Unity,11
19C388ADE5272A21C22579100046C502,Artis Pabriks,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/19c388ade5272a21c22579100046c502/Foto/0.84?OpenElement&FieldElemFormat=jpg,Artis.Pabriks@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/19C388ADE5272A21C22579100046C502?OpenDocument&lang=EN,Artis,Pabriks,2014-01-23,2014-06-05,Unity,11
6BB2F54C13B6B774C22579100046C56C,Iveta Grigule,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/6bb2f54c13b6b774c22579100046c56c/Foto/0.84?OpenElement&FieldElemFormat=jpg,Iveta.Grigule@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/6BB2F54C13B6B774C22579100046C56C?OpenDocument&lang=EN,Iveta,Grigule,2011-10-17,2014-06-05,Union of Greens and Farmers,11
B8895B59678DE2E2C22579100046C51D,Valdis Dombrovskis,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/b8895b59678de2e2c22579100046c51d/Foto/0.84?OpenElement&FieldElemFormat=jpg,Valdis.Dombrovskis@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/B8895B59678DE2E2C22579100046C51D?OpenDocument&lang=EN,Valdis,Dombrovskis,2011-10-18,2011-11-03,Unity,11
B8895B59678DE2E2C22579100046C51D,Valdis Dombrovskis,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/b8895b59678de2e2c22579100046c51d/Foto/0.84?OpenElement&FieldElemFormat=jpg,Valdis.Dombrovskis@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/B8895B59678DE2E2C22579100046C51D?OpenDocument&lang=EN,Valdis,Dombrovskis,2014-01-23,2014-06-05,Unity,11
327974E8CB864C40C22579100046C4DA,Sergejs Dolgopolovs,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/327974e8cb864c40c22579100046c4da/Foto/0.84?OpenElement&FieldElemFormat=jpg,Sergejs.Dolgopolovs@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/327974E8CB864C40C22579100046C4DA?OpenDocument&lang=EN,Sergejs,Dolgopolovs,2011-10-17,2014-11-04,Concord Centre,11
B43CBBA997911B38C22579100046C4B0,Valerijs Agesins,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/b43cbba997911b38c22579100046c4b0/Foto/0.84?OpenElement&FieldElemFormat=jpg,Valerijs.Agesins@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/B43CBBA997911B38C22579100046C4B0?OpenDocument&lang=EN,Valerijs,Agesins,2011-10-17,2014-11-04,Concord Centre,11
2E36D12A62C46070C22579100046C4D1,Janis Adamsons,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/2e36d12a62c46070c22579100046c4d1/Foto/0.84?OpenElement&FieldElemFormat=jpg,Janis.Adamsons@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/2E36D12A62C46070C22579100046C4D1?OpenDocument&lang=EN,Janis,Adamsons,2011-10-17,2014-11-04,Concord Centre,11
C0EE3B6F1DF37F62C22579100046C671,Edmunds Demiters,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/c0ee3b6f1df37f62c22579100046c671/Foto/0.84?OpenElement&FieldElemFormat=jpg,Edmunds.Demiters@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/C0EE3B6F1DF37F62C22579100046C671?OpenDocument&lang=EN,Edmunds,Demiters,2011-10-18,2013-01-09,Reform Party,11
C0EE3B6F1DF37F62C22579100046C671,Edmunds Demiters,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/c0ee3b6f1df37f62c22579100046c671/Foto/0.84?OpenElement&FieldElemFormat=jpg,Edmunds.Demiters@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/C0EE3B6F1DF37F62C22579100046C671?OpenDocument&lang=EN,Edmunds,Demiters,2013-01-09,2013-05-02,Reform Party,11
C0EE3B6F1DF37F62C22579100046C671,Edmunds Demiters,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/c0ee3b6f1df37f62c22579100046c671/Foto/0.84?OpenElement&FieldElemFormat=jpg,Edmunds.Demiters@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/C0EE3B6F1DF37F62C22579100046C671?OpenDocument&lang=EN,Edmunds,Demiters,2013-05-02,2014-02-12,Reform Party,11
C0EE3B6F1DF37F62C22579100046C671,Edmunds Demiters,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/c0ee3b6f1df37f62c22579100046c671/Foto/0.84?OpenElement&FieldElemFormat=jpg,Edmunds.Demiters@saeima.lv,http://titania.saeima.lv/personal/deputati/saeima11_depweb_public.nsf/0/C0EE3B6F1DF37F62C22579100046C671?OpenDocument&lang=EN,Edmunds,Demiters,2014-02-12,2014-11-04,Reform Party,11
