iddiputado,name,sort_name,given_name,family_name,gender,party,faction_id,faction,source,dob,term,start_date,end_date,email,twitter,facebook,phone,fax,constituency,photo,id
338,Susana Sumelzo Jordán,"Sumelzo Jordán, Susana",Susana,Sumelzo Jordán,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=338&idLegislatura=11,,11,,,"","","","","",Zaragoza,"",10_102
329,María González Veracruz,"González Veracruz, María",María,González Veracruz,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=329&idLegislatura=11,,11,,,"","","","","",Murcia,"",10_104
266,Manuel Gabriel González Ramos,"González Ramos, Manuel Gabriel",Manuel Gabriel,González Ramos,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=266&idLegislatura=11,,11,,,"","","","","",Albacete,"",10_11
326,María Pilar Lucio Carrasco,"Lucio Carrasco, María Pilar",María Pilar,Lucio Carrasco,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=326&idLegislatura=11,,11,,,"","","","","",Cáceres,"",10_111
102,Antonio Pradas Torres,"Pradas Torres, Antonio",Antonio,Pradas Torres,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=102&idLegislatura=11,,11,,,"","","","","",Sevilla,"",10_117
12,Felipe Jesús Sicilia Alférez,"Sicilia Alférez, Felipe Jesús",Felipe Jesús,Sicilia Alférez,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=12&idLegislatura=11,,11,,,"","","","","",Jaén,"",10_122
112,María del Puerto Gallego Arriola,"Gallego Arriola, María del Puerto",María del Puerto,Gallego Arriola,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=112&idLegislatura=11,,11,,,"","","","","",Cantabria,"",10_127
289,Sebastián Franquis Vera,"Franquis Vera, Sebastián",Sebastián,Franquis Vera,male,PSOE-NCa,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=289&idLegislatura=11,,11,,,"","","","","",Las Palmas,"",10_132
18,Irene Garrido Valenzuela,"Garrido Valenzuela, Irene",Irene,Garrido Valenzuela,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=18&idLegislatura=11,,11,,,"","","","","",Pontevedra,"",10_138
330,Sofía Hernanz Costa,"Hernanz Costa, Sofía",Sofía,Hernanz Costa,female,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=330&idLegislatura=11,,11,,,"","","","","",Illes Balears,"",10_141
299,María Teresa Angulo Romero,"Angulo Romero, María Teresa",María Teresa,Angulo Romero,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=299&idLegislatura=11,,11,,,"","","","","",Badajoz,"",10_148
315,Leopoldo Barreda de los Ríos,"Barreda de los Ríos, Leopoldo",Leopoldo,Barreda de los Ríos,male,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=315&idLegislatura=11,,11,,,"","","","","",Bizkaia,"",10_149
16,Beatriz Marta Escudero Berzal,"Escudero Berzal, Beatriz Marta",Beatriz Marta,Escudero Berzal,female,PP,GP,G.P. Popular,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=16&idLegislatura=11,,11,,,"","","","","",Segovia,"",10_15
180,Guillermo Antonio Meijón Couselo,"Meijón Couselo, Guillermo Antonio",Guillermo Antonio,Meijón Couselo,male,PSOE,GS,G.P. Socialista,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?next_page=/wc/fichaDiputado&idDiputado=180&idLegislatura=11,,11,,,"","","","","",Pontevedra,"",10_153
