name,given_name,family_name,sort_name,gender,birth_date,party,term
A. Michel NANA,A. Michel,NANA,"NANA, A. Michel",,,ADF/RDA,1
Adama TIENDRBOGO,Adama,TIENDRBOGO,"TIENDRBOGO, Adama",,,CDP,1
Adoua DICKO/AGALOUE,Adoua,DICKO/AGALOUE,"DICKO/AGALOUE, Adoua",,,CDP,1
Alain Guy Richard ILBOUDO,Alain Guy Richard,ILBOUDO,"ILBOUDO, Alain Guy Richard",,,CDP,1
Amadou DABO,Amadou,DABO,"DABO, Amadou",,,ADF/RDA,1
Amadou DICKO,Amadou,DICKO,"DICKO, Amadou",,,CDP,1
Amadou YAYA,Amadou,YAYA,"YAYA, Amadou",,,ADF/RDA,1
Amirou DICKO,Amirou,DICKO,"DICKO, Amirou",,,CDP,1
Andr CONGO,Andr,CONGO,"CONGO, Andr",,,CDP,1
BONGNESSAN Arsne YE,BONGNESSAN Arsne,YE,"YE, BONGNESSAN Arsne",,,CDP,1
Bapougouni Ren Bernard YONLI,Bapougouni Ren Bernard,YONLI,"YONLI, Bapougouni Ren Bernard",,,CDP,1
Barthlmy KORBOGO,Barthlmy,KORBOGO,"KORBOGO, Barthlmy",,,CDP,1
Batian BENAO,Batian,BENAO,"BENAO, Batian",,,CDP,1
Batio Isae TRAOR,Batio Isae,TRAOR,"TRAOR, Batio Isae",,,ADF/RDA,1
Bayouwa Innocent DAKOUO,Bayouwa Innocent,DAKOUO,"DAKOUO, Bayouwa Innocent",,,CDP,1
Benot LOMPO,Benot,LOMPO,"LOMPO, Benot",,,UPC,1
Bertin OUIYA,Bertin,OUIYA,"OUIYA, Bertin",,,CDP,1
Bila Ignance SAWADOGO,Bila Ignance,SAWADOGO,"SAWADOGO, Bila Ignance",,,CDP,1
Bok DRABO,Bok,DRABO,"DRABO, Bok",,,CDP,1
Bouarimani NIDJERGOU,Bouarimani,NIDJERGOU,"NIDJERGOU, Bouarimani",,,CDP,1
Boubacar DICKO,Boubacar,DICKO,"DICKO, Boubacar",,,CDP,1
Bouri Roger ZOMBR,Bouri Roger,ZOMBR,"ZOMBR, Bouri Roger",,,CDP,1
Bdouma Alain YODA,Bdouma Alain,YODA,"YODA, Bdouma Alain",,,CDP,1
Bli Etienne GUE,Bli Etienne,GUE,"GUE, Bli Etienne",,,CDP,1
Clment SANON,Clment,SANON,"SANON, Clment",,,CDP,1
Cyril GOUNGOUGA,Cyril,GOUNGOUGA,"GOUNGOUGA, Cyril",,,CDP,1
D. Boubacar NAMOUNTOUGOU,D. Boubacar,NAMOUNTOUGOU,"NAMOUNTOUGOU, D. Boubacar",,,CDP,1
D. Thodore SAWADOGO,D. Thodore,SAWADOGO,"SAWADOGO, D. Thodore",,,UPC,1
Daouda BAYILI,Daouda,BAYILI,"BAYILI, Daouda",,,CDP,1
Dasman ZEBA,Dasman,ZEBA,"ZEBA, Dasman",,,CDP,1
