name,given_name,family_name,sort_name,gender,birth_date,party,term
A. Thophile DENTIOGUE,A. Thophile,DENTIOGUE,"DENTIOGUE, A. Thophile",,,UPC,3
Adama DERA,Adama,DERA,"DERA, Adama",,,ADJ,3
Alfred KABOR,Alfred,KABOR,"KABOR, Alfred",,,ADJ,3
Alfred SANOU,Alfred,SANOU,"SANOU, Alfred",,,CDP,3
Amadou DABO,Amadou,DABO,"DABO, Amadou",,,ADJ,3
Amadou HAMA,Amadou,HAMA,"HAMA, Amadou",,,CDP,3
Amad TAHO,Amad,TAHO,"TAHO, Amad",,,CDP,3
Amidou Christophe BADINI,Amidou Christophe,BADINI,"BADINI, Amidou Christophe",,,CDP,3
Assata SIDIBE,Assata,SIDIBE,"SIDIBE, Assata",,,ADF/RDA,3
B. Sbastien ZABSONR,B. Sbastien,ZABSONR,"ZABSONR, B. Sbastien",,,UPC,3
BONGNESSAN Arsne YE,BONGNESSAN Arsne,YE,"YE, BONGNESSAN Arsne",,,CDP,3
Babor Grgoire BADO,Babor Grgoire,BADO,"BADO, Babor Grgoire",,,CFR,3
Bakary SR,Bakary,SR,"SR, Bakary",,,CFR,3
Blaise KYELEM,Blaise,KYELEM,"KYELEM, Blaise",,,CDP,3
Blandine SAWADOGO,Blandine,SAWADOGO,"SAWADOGO, Blandine",,,CDP,3
Bonaventure OUDRAOGO,Bonaventure,OUDRAOGO,"OUDRAOGO, Bonaventure",,,CDP,3
Boureima OUEDRAOGO,Boureima,OUEDRAOGO,"OUEDRAOGO, Boureima",,,ADJ,3
Bli Etienne GUE,Bli Etienne,GUE,"GUE, Bli Etienne",,,CDP,3
C. Gustave BOUDA,C. Gustave,BOUDA,"BOUDA, C. Gustave",,,CDP,3
Cyril GOUNGOUGA,Cyril,GOUNGOUGA,"GOUNGOUGA, Cyril",,,CFR,3
D. Juste LANKOAND,D. Juste,LANKOAND,"LANKOAND, D. Juste",,,Non inscrit,3
D. Thodore SAWADOGO,D. Thodore,SAWADOGO,"SAWADOGO, D. Thodore",,,UPC,3
Dieudonn BONANET,Dieudonn,BONANET,"BONANET, Dieudonn",,,CDP,3
Dimfangodo SAWADOGO,Dimfangodo,SAWADOGO,"SAWADOGO, Dimfangodo",,,CDP,3
Djjouma SANON,Djjouma,SANON,"SANON, Djjouma",,,ADJ,3
Dma Raphal BADO,Dma Raphal,BADO,"BADO, Dma Raphal",,,ADF/RDA,3
Etienne TRAORE,Etienne,TRAORE,"TRAORE, Etienne",,,UPC,3
