id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_251,Ronald Reagan Okumu,Independent,INDEP,male,10,Aswa County,Aswa County,Gulu,Acholi,Northern,Rural,Bachelors,,,@rrokumu,https://www.facebook.com/ronaldreagan.okumu?fref=ts,,,1969,,,
mp_252,Rose Mutonyi,National Resistance Movement,NRM,female,10,Bubulo west,Bubulo west,Manafwa,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_253,Rosemary Tumusiime,National Resistance Movement,NRM,female,10,Entebbe Municipality,Entebbe Municipality,Wakiso,Buganda,Central,Urban,,,,,,,,,,,
mp_254,Ruth Katushabe,National Resistance Movement,NRM,female,10,Bukomansimbi South,Bukomansimbi South,Bukomansimbi,Buganda,Central,Rural,,,,,,,,,,,
mp_255,Saida Bbumba,National Resistance Movement,NRM,female,10,Nakaseke North,Nakaseke North,Nakaseke,Buganda,Central,Rural,,,,,,,,1952,,,
mp_256,Sam Bitangaro,National Resistance Movement,NRM,male,10,Bufumbira South,Bufumbira South,Kisoro,Kigezi,Western,Rural,,,,,,,,,,,
mp_257,Sam Byibesho,National Resistance Movement,NRM,male,10,Kisoro Municipality,Kisoro Municipality,Kisoro,Kigezi,Western,Rural,,,,,,,,,,,
mp_258,Sam Cheptoris,National Resistance Movement,NRM,male,10,Kapchorwa Municipality,Kapchorwa Municipality,Kapchorwa,Sebbei,Eastern,Rural,,,,,,,,,,,
mp_259,Sam Kutesa,National Resistance Movement,NRM,male,10,Mawogola North,Mawogola North,Sembabule,Buganda,Central,Rural,Post Graduate,,,@samkutesa,https://www.facebook.com/sam.kutesa.9?fref=ts,,,1949,,,
mp_26,Aston Kajara,National Resistance Movement,NRM,male,10,Mwenge South,Mwenge South,Kyenjojo,Tooro/Rwenzori,Western,Rural,Post Graduate,,,,,,,1956,,,
mp_260,Samson Lokeris ,National Resistance Movement,NRM,male,10,Dodoth East,Dodoth East,Kaabong,Karamoja,Northern,Rural,Bachelors,,,,,,,1956,,,
mp_261,Samuel Okwir,Independent,INDEP,male,10,Moroto County,Moroto County,Alebtong,Lango,Northern,Rural,,,,,,,,,,,
mp_262,Silas Aogon,Independent,INDEP,male,10,Kumi Municipality,Kumi Municipality,Kumi,Teso,Eastern,Urban,,,,,,,,,,,
mp_263,Simeo Nsubuga,National Resistance Movement,NRM,male,10,Kassanda South,Kassanda South,Mubende,Buganda,Central,Rural,,,,,,,,,,,
mp_264,Simon Giw D'Ujanga,National Resistance Movement,NRM,male,10,Okoro County,Okoro County,Zombo,West Nile,Northern,Rural,Masters,,,,,,,1953,,,
mp_265,Simon Lokodo,National Resistance Movement,NRM,male,10,Dodoth West,Dodoth West,Kaabong,Karamoja,Northern,Rural,Masters,,,@slokodo,https://www.facebook.com/simon.mulongo?fref=ts,,,1957,,,
mp_266,Simon Oyet,Forum for Democratic Change,FDC,male,10,Nwoya County,Nwoya County,Nwoya,Acholi,Northern,Rural,,,,,,,,,,,
mp_267,Solomon Silwanyi,National Resistance Movement,NRM,male,10,Bukooli Central,Bukooli Central,Bugiri,Busoga,Eastern,Rural,,,,,,,,,,,
mp_268,Ssempala Kigozi,Democratic Party,DP,male,10,Makindye-Ssabagabo,Makindye-Ssabagabo,Wakiso,Buganda,Central,Rural,,,,,,,,,,,
mp_269,Ssemujju Nganda,Forum for Democratic Change,FDC,male,10,Kira Municipality,Kira Municipality,Wakiso,Buganda,Central,Urban,Bachelors,,,@SsemujjuNganda,https://www.facebook.com/SsemujjuNganda?fref=ts,,,1973,,,
mp_27,Barnabas Tinkasimire ,National Resistance Movement,NRM,male,10,Buyaga West,Buyaga West,Kibaale,Bunyoro,Western,Rural,Masters,,,@HonTinkasiimire,,,,1970,,,
mp_270,Stephen Kangwagye,National Resistance Movement,NRM,male,10,Bukanga,Bukanga,Isingiro,Ankole,Western,Rural,,,,,,,,,,,
mp_271,Stephen Kisa Bakubalwayo,National Resistance Movement,NRM,male,10,Luuka county south,Luuka county south,Luuka,Busoga,Eastern,Rural,,,,,,,,,,,
mp_272,Stephen Mayende Dede,National Resistance Movement,NRM,male,10,Bukooli South,Bukooli South,Namayigo,Busoga,Eastern,Rural,UACE,,,,,,,1969,,,
mp_273,Stephen Mukitale Adyeri Biraahwa,Independent,INDEP,male,10,Buliisa County,Buliisa County,Buliisa,Bunyoro,Western,Rural,Masters,,,,,,,1965,,,
mp_274,Terence Achia Naco,National Resistance Movement,NRM,male,10,Bokora County,Bokora County,Napak,Karamoja,Northern,Rural,,,,,,,,,,,
mp_275,Theodore Ssekikubo,National Resistance Movement,NRM,male,10,Lwemiyaga County,Lwemiyaga County,Sembabule,Buganda,Central,Rural,Masters,,,@SsekikuboT,https://www.facebook.com/ssekikubo.theodore.9?fref=ts,,,1969,,,
mp_276,Thomas Tayebwa,National Resistance Movement,NRM,male,10,Ruhinda North,Ruhinda North,Mitooma,Ankole,Western,Rural,,,,,,,,,,,
mp_277,Tom Aza Alero,National Resistance Movement,NRM,male,10,West Moyo,West Moyo,Moyo,West Nile,Northern,Rural,Bachelors,,,,,,,1962,,,
mp_278,Tom Butime,National Resistance Movement,NRM,male,10,Mwenge Central  County,Mwenge Central  County,Kyenjojo,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_279,Tony Ayoo,National Resistance Movement,NRM,male,10,Kwania County,Kwania County,Apac,Lango,Apac,Rural,Bachelors,,,,,,,1973,,,
mp_28,Beatrice Atim Anywar,Independent,INDEP,female,10,Kitgum Municipality,Kitgum Municipality,Kitgum,Acholi,Northern,urban,Bachelors,,,,,,,1964,,,
mp_280,Veronica Isala Eragu,National Resistance Movement,NRM,female,10,Kaberamaido County,Kaberamaido County,Kaberamaido,Teso,Eastern,Rural,,,,,,,,,,,
mp_281,Vicent Sempijja Bamulangiki,National Resistance Movement,NRM,male,10,Kalungu East,Kalungu East,Kalungu,Buganda,Central,rural,Masters,,,,,,,1956,,,
mp_282,Vicent Waboya,National Resistance Movement,NRM,male,10,BudadirI East,BudadirI East,Sironko,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_283,Waira Kyewalabye Majegere,Independent,INDEP,male,10,Bunya East,Bunya East,Mayuge,Busoga,Eastern,Rural,Masters,,,,,,,1969,,,
mp_284,Wilberforce Yaguma,National Resistance Movement,NRM,male,10,Kashari North,Kashari North,Mbarara,Ankole,Western,Rural,Bachelors,,,,,,,1962,,,
mp_285,Wilfred Niwagaba,Independent,INDEP,male,10,Ndorwa East,Ndorwa East,Kabale,Kigezi,Western,Rural,Post Graduate,,,,,,,1971,,,
mp_286,William Nzughu,Forum for Democratic Change,FDC,male,10,Busongora North,Busongora North,Kasese,Tooro/Rwenzori,Western,Rural,Masters,,,,,,,1974,,,
mp_287,William Zinkuratire Beijuke,National Resistance Movement,NRM,male,10,Ruhama County,Ruhama County,Ntungamo,Ankole,Western,Rural,,,,,,,,,,,
mp_288,Wilson Mukasa Muruli,National Resistance Movement,NRM,male,10,Budyebo County,Budyebo County,Nakasongola,Buganda,Central,Rural,Bachelors,,,,,,,1952,,,
mp_289,Yeri Ofwono Apollo,National Resistance Movement,NRM,male,10,Tororo Municipality,Tororo Municipality,Tororo,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_29,Bernard Atiku,Independent,INDEP,male,10,Ayivu County,Ayivu County,Arua,West Nile,Northern,Rural,Bachelors,,,,,,,1977,,,
mp_290,Yorke  Odria Alioni,Independent,INDEP,male,10,Aringa south,Aringa south,Yumbe,West Nile,Northern,Rural,,,,,,,,,,,
mp_291,Zerubabel Nyiira Mijumbi,National Resistance Movement,NRM,male,10,Buruli,Buruli,Masindi,Bunyoro,Western,Rural,PHD,,,,,,,1940,,,
mp_30,Betty Amongi Ongom,Uganda Peoples' Congress,UPC,female,10,Oyam South,Oyam South,Oyam,Lango,Northern,Rural,Masters,,,,,,,1975,,,
mp_31,Betty Nambooze,Democratic Party,DP,female,10,Mukono Municipality,Mukono Municipality,Mukono,Buganda,Central,Urban,Diploma,,,,,,,1969,,,
mp_32,Boaz Kasirabo Ninsiiima ,National Resistance Movement,NRM,male,10,Kooki County,Kooki County,Rakai,Buganda,Central,Rural,,,,,,,,,,,
mp_33,Boniface Desales Okello,National Resistance Movement,NRM,male,10,Kole North,Kole North,Kole,Lango,Northern,Rural,,,,,,,,,,,
mp_34,Bright Rwamirama,National Resistance Movement,NRM,male,10,Isingiro North,Isingiro North,Isingiro,Ankole,Western,Rural,Masters,,,,,,,1954,,,
mp_35,Bwambale Harold,Forum for Democratic Change,FDC,male,10,Bukonzo West,Bukonzo West,Kasese,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_36,Carolyn Nanyondo Birungi,National Resistance Movement,NRM,female,10,Kyamuswa County,Kyamuswa County,Kalangala,Buganda,Central,Rural,,,,,,,,,,,
mp_37,Casbert Abigaba,National Resistance Movement,NRM,male,10,Kibale County,Kibale County,Kamwenge,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_38,Charles Angiro Gutumoi,Forum for Democratic Change,FDC,male,10,Erute North,Erute North,Lira,Lango,Northern,Rural,,,,,,,,,,,
mp_39,Charles Illukori ,National Resistance Movement,NRM,male,10,Kumi County,Kumi County,Kumi,Teso,Eastern,Rural,,,,,,,,,,,
mp_40,Charles Ngabirano,National Resistance Movement,NRM,male,10,Rwampara County,Rwampara County,Mbarara,Ankole,Western,Rural,,,,,,,,,,,
mp_41,Charles Okello P. Engola Macodwogo,National Resistance Movement,NRM,male,10,Oyam North,Oyam North,Oyam,Lango,Northern,Rural,,,,,,,,,,,
mp_42,Chris Baryomunsi,National Resistance Movement,NRM,male,10,Kinkizi East,Kinkizi East,Kanungu,Kigezi,Western,Rural,Masters,,,@BaryomunsiChris,,,,1954,,,
mp_43,Christopher Kalemba,National Resistance Movement,NRM,male,10,Kakuuto County,Kakuuto County,Rakai,Buganda,Central,Rural,,,,,,,,,,,
mp_44,Christopher Kipterit Akorikimoi,Independent,INDEP,male,10,Upe county,Upe county,Amudat,Teso,Eastern,Rural,,,,,,,,,,,
mp_45,Christopher Mbalibulha Kibanzaga,National Resistance Movement,NRM,male,10,Bughendera County,Bughendera County,Bundibugyo,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_46,Clement Keneth Ongalo-Obote,National Resistance Movement,NRM,male,10,Kalaki county,Kalaki county,Kaberamaido,Teso,Eastern,Rural,bachelors,,,,,,,1971,,,
mp_47,Cosmas Elotu,National Resistance Movement,NRM,male,10,Dakabela County,Dakabela County,Soroti,Teso,Eastern,Rural,,,,,,,,,,,
mp_48,Cyrus Amodoi,Independent,INDEP,male,10,Toroma County,Toroma County,Katakwi,Teso,Eastern,Rural,Bachelors,,,,,,,1976,,,
mp_49,Daniel Muhairwe,National Resistance Movement,NRM,male,10,Buhaguzi,Buhaguzi,Hoima,Bunyoro,Western,Rural,,,,,,,,,,,
mp_50,David Abala,National Resistance Movement,NRM,male,10,Ngora County,Ngora County,Ngora,Teso,Eastern,Rural,,,,,,,,,,,
mp_51,David Bahati,National Resistance Movement,NRM,male,10,Ndorwa West,Ndorwa West,Kabale,Kigezi,Western,Rural,Masters,,,,,,,1973,,,
mp_52,David Guma Gumisiriza,National Resistance Movement,NRM,male,10,Ibanda North,Ibanda North,Ibanda,Ankole,Western,Rural,,,,,,,,,,,
mp_53,David Kalwanga,Independent,INDEP,male,10,Busunjju,Busunjju,Mityana,Buganda,Central,Rural,,,,,,,,,,,
mp_54,David Karubanga,National Resistance Movement,NRM,male,10,Kigorobya,Kigorobya,Hoima,Bunyoro,Western,Rural,,,,,,,,,,,
mp_55,David Ronnie Mutebi,National Resistance Movement,NRM,male,10,Buikwe South,Buikwe South,Buikwe,Buganda,Central,rural,,,,,,,,,,,
mp_56,Denis Galabuzi,National Resistance Movement,NRM,male,10,Busiro  North,Busiro  North,Wakiso,Buganda,Central,Rural,,,,,,,,,,,
mp_57,Denis Hamson Obua,National Resistance Movement,NRM,male,10,Ajuri County,Ajuri County,Alebtong,Lango,Northern,Rural,,,,,,,,1980,,,
mp_58,Denis Sabiiti,National Resistance Movement,NRM,male,10,Rubanda West,Rubanda West,Kabale,Kigezi,Western,Rural,,,,,,,,,,,
mp_59,Deogratius D. Gonzaga Kiyingi,Democratic Party,DP,male,10,Bukomansimbi,Bukomansimbi,Bukomansimbi,Buganda,Central,Rural,Bachelors,,,,,,,1967,,,
mp_60,Donozio Kahonda,National Resistance Movement,NRM,male,10,Ruhinda ,Ruhinda ,Mitooma,Ankole,Western,Rural,,,,,,,,,,,
mp_61,Edward Otto Makmot,Independent,INDEP,male,10,Agago County,Agago County,Agago,Acholi,Northern,Rural,,,,,,,,,,,
mp_62,Edward Sembatya,National Resistance Movement,NRM,male,10,katikamu south,katikamu south,Luweero,Buganda,Central,Rural,,,,,,,,,,,
mp_63,Edward Ssekandi,National Resistance Movement,NRM,male,10,Bukoto Central,Bukoto Central,Masaka,Buganda,Central,Rural,,,,@ESsekandi,,,,1943,,,
mp_64,Elijah Okupa,Forum for Democratic Change,FDC,male,10,Kasilo,Kasilo,Serere,Teso,Eastern,Rural,,,,,,,,,,,
mp_65,Elioda Tumwesigye,National Resistance Movement,NRM,male,10,Sheema South,Sheema South,Sheema,Ankole,Western,Rural,Masters,,,@elioda_t,,,,1964,,,
mp_66,Elly Elias Asiku,National Resistance Movement,NRM,male,10,Koboko North,Koboko North,Koboko,West Nile,Northern,Rural,,,,,,,,,,,
mp_67,Emanuel Kalule Sengo,National Resistance Movement,NRM,male,10,Gomba East,Gomba East,Gomba,Buganda,Central,Rural,,,,,,,,,,,
mp_68,Emmanuel Ongiertho,Forum for Democratic Change,FDC,male,10,Jonam County,Jonam County,Nebbi,West Nile,Northern,Rural,,,,,,,,,,,
mp_69,Ephraim Kamuntu,National Resistance Movement,NRM,male,10,Sheema North,Sheema North,Sheema,Ankole,Western,Rural,Masters,,,,,,,1945,,,
mp_70,Eric Musana,National Resistance Movement,NRM,male,10,Buyaga East,Buyaga East,Kibaale,Bunyoro,Western,Rural,,,,,,,,,,,
mp_71,Ernest Kizza,National Resistance Movement,NRM,male,10,Masindi Municipality,Masindi Municipality,Masindi,Bunyoro,Western,Urban,Bachelors,,,,,,,1967,,,
mp_72,Evelyn Anite,National Resistance Movement,NRM,female,10,Koboko Municiplity,Koboko Municiplity,Koboko,West Nile,Northern,Urban,Bachelors,,,@Aniteevelyn,,,,1984,,,
mp_73,Felix Okot Ogong,National Resistance Movement,NRM,male,10,Dokolo South,Dokolo South,Dokolo,Lango,Northern,Rural,Bachelors,,,,,,,1965,,,
mp_74,Florence Namayamja,Democratic Party,DP,female,10,Bukoto East,Bukoto East,Masaka,Buganda,Central,Rural,Bachelors,,,,,,,1960,,,
mp_75,Francis Barnabas Gonahasa,Forum for Democratic Change,FDC,male,10,Kabweri County,Kabweri County,Kibuku,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_76,Francis Mukula,Independent,INDEP,male,10,Agule County,Agule County,Pallisa,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_77,Francis Musa Ecweru,National Resistance Movement,NRM,male,10,Amuria County,Amuria County,Amuria,Teso,Eastern,Rural,Bachelors,,,,,,,1964,,,
mp_78,Francis Mwijikye,Forum for Democratic Change,FDC,male,10,Buhweju,Buhweju,Buhweju,Ankole,Western,Rural,,,,,,,,,,,
mp_79,Francis Zzake,Independent,INDEP,male,10,Mityana Municipality,Mityana Municipality,Mityana,Buganda,Central,Urban,,,,,,,,,,,
mp_80,Franco Robert Centenary,Forum for Democratic Change,FDC,male,10,Kasese Municipality,Kasese Municipality,Kasese,Tooro/Rwenzori,Western,Urban,,,,,,,,,,,
mp_81,Frank Tumwebaze,National Resistance Movement,NRM,male,10,Kibale East,Kibale East,Kamwenge,Tooro/Rwenzori,Western,Rural,Bachelors,,,,,,,1975,,,
mp_82,Fred Angella,National Resistance Movement,NRM,male,10,Moroto Municipality,Moroto Municipality,Moroto,Karamoja,Northern,Urban,,,,,,,,,,,
mp_83,Fred Baseke,Independent,INDEP,male,10,Ntenjeru South,Ntenjeru South,Kayunga,Buganda,Central,Rural,,,,,,,,,,,
mp_84,Fred Bwino Kyakulaga,National Resistance Movement,NRM,male,10,Kigulu North,Kigulu North,Iganga,Busoga,Eastern,Rural,,,,,,,,,,,
mp_85,Fred Mudokoi,Independent,INDEP,male,10,Butebo County,Butebo County,Pallisa,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_86,Fred Mwesigye,National Resistance Movement,NRM,male,10,Nyabushozi,Nyabushozi,Kiruhura,Ankole,Western,Rural,,,,,,,,,,,
mp_87,Fred Turyamuhweza Tumuheirwa,Forum for Democratic Change,FDC,male,10,Rujumbura County,Rujumbura County,Rukungiri,Kigezi,Western,Rural,,,,,,,,,,,
mp_88,Frederick Angura,National Resistance Movement,NRM,male,10,Tororo South,Tororo South,Tororo,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_89,Fredrick Ngobi Gume,National Resistance Movement,NRM,male,10,Bulamogi North West,Bulamogi North West,Kaliro,Busoga,Eastern,Rural,,,,,,,,,,,
mp_90,Gabriel Ajedra Aridru,National Resistance Movement,NRM,male,10,Vurra County,Vurra County,Arua,West Nile,Northern,Rural,,,,,,,,,,,
mp_91,Gaster Mugoya,National Resistance Movement,NRM,male,10,Bukooli North,Bukooli North,Bugiri,Busoga,Eastern,Rural,,,,,,,,,,,
mp_92,Genensio Tumuramye,National Resistance Movement,NRM,male,10,Kashongi,Kashongi,Kiruhura,Ankole,Western,Rural,,,,,,,,,,,
mp_93,Geofrey Dhamuzungu,National Resistance Movement,NRM,male,10,Budiope East,Budiope East,Buyende,Busoga,Eastern,Rural,,,,,,,,,,,
mp_94,Geofrey Macho,National Resistance Movement,NRM,male,10,Busia Municipality,Busia Municipality,Busia,Bukedi,Eastern,Urban,,,,,,,,,,,
mp_95,Geofrey Nabutanyi Watenga,Independent,INDEP,male,10,Lutseshe,Lutseshe,Bududa,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_96,George Abbot Ouma,National Resistance Movement,NRM,male,10,Bukooli Island,Bukooli Island,Namayingo,Busoga,Eastern,Rural,,,,,,,,,,,
mp_97,George Nsamba Kumama,National Resistance Movement,NRM,male,10,Bbale County,Bbale County,Kayunga,Buganda,Central,Rural,,,,,,,,,,,
mp_98,Gerald Karuhanga,Independent,INDEP,male,10,Ntungamo Municipality,Ntungamo Municipality,Ntungamo,Ankole,Western,Urban,Post Graduate,,,@GKaruhanga1,https://www.facebook.com/geraldk.karuhanga?fref=ts,,,1982,,,
mp_99,Gershom Sizomu,Forum for Democratic Change,FDC,male,10,Bungokho North,Bungokho North,Mbale,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_292,Agnes Ameede,National Resistance Movement,NRM,female,10,Woman Representative,,Pallisa,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_293,Agnes Wejuli Taaka,National Resistance Movement,NRM,female,10,Woman Representative,,Bugiri,Busoga,Eastern,Rural,,,,,,,,,,,
mp_294,Idah Nabayiga,National Resistance Movement,NRM,female,10,Woman Representative,,Kalangala,Buganda,Central,Rural,,,,,,,,,,,
mp_295,Idah Erios  Nantaba,National Resistance Movement,NRM,female,10,Woman Representative,,kayunga,Buganda,Central,Rural,Bachelors,,,,https://www.facebook.com/Aidah-Nantaba-223548077776395/?fref=ts,,,1979,,,
mp_296,Susan Amero ,National Resistance Movement,NRM,female,10,Woman Representative,,Amuria,Teso,Eastern,Rural,Bachelors,,,,,,,1976,,,
mp_297,Angelline Asio Ossege ,National Resistance Movement,NRM,female,10,Woman Representative,,Soroti,Teso,Eastern,Rural,Bachelors,,,,,,,1969,,,
mp_298,Annita Annet Among,National Resistance Movement,NRM,female,10,Woman Representative,,Bukedea,Teso,Eastern,Rural,,,,,,,,,,,
mp_299,Annie Logiel,National Resistance Movement,NRM,female,10,Woman Representative,,Moroto,Karamoja,Nothern,Rural,,,,,,,,,,,
mp_300,Anna Maria Nankabirwa,National Resistance Movement,NRM,female,10,Woman Representative,,Kyankwanzi,Buganda,Central,Rural,Bachelors,,,,,,,1975,,,
mp_301,Anne Mary Tumwine,National Resistance Movement,NRM,female,10,Woman Representative,,Ntoroko,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_302,Awor Betty Engola,National Resistance Movement,NRM,female,10,Woman Representative,,Apac,Lango,Nothern,Rural,,,,,,,,,,,
mp_303,Beatrice Rwakimari,National Resistance Movement,NRM,female,10,Woman Representative,,Ntungamo,Ankole,Western,Rural,,,,,,,,,,,
mp_304,Benny Namugwanya Bugembe,National Resistance Movement,NRM,female,10,Woman Representative,,Mubende,Buganda,Central,Rural,Masters,,,,,,,1967,,,
mp_305,Betty Aol Ochan,National Resistance Movement,NRM,female,10,Woman Representative,,Gulu,Acholi,Nothern,Rural-Urban,Bachelors,,,https://twitter.com/BettyAolOcan,https://www.facebook.com/ocanbetty?fref=ts,,,1958,,,
mp_306,Catheline Atwkiire Ndamira,National Resistance Movement,NRM,female,10,Woman Representative,,Kabale,Kigezi,Western,Rural,,,,,,,,,,,
mp_307,Cecilia Barbara Ogwal,National Resistance Movement,NRM,female,10,Woman Representative,,Dokolo,Lango,Northern,Rural,Bchelors,,,,,,,1946,,,
mp_308,Christine Acen Ayo,National Resistance Movement,NRM,female,10,Woman Representative,,Alebtong,Lango,Nothern,Rural,,,,,,,,,,,
mp_309,Christine Dorine Lowila Oketayot,National Resistance Movement,NRM,female,10,Woman Representative,,Pader,Acholi,Northern,Rural,Bachelors,,,,,,,1969,,,
mp_310,ChristineTudo,National Resistance Movement,NRM,female,10,Woman Representative,,Kaabong,Karamoja,Nothern,Rural,,,,,,,,,,,
mp_311,Connie Nakayenze,National Resistance Movement,NRM,female,10,Woman Representative,,Mbale,Bugisu,Eastern,Rural,Masters,,,,https://www.facebook.com/nakayenze.connie?fref=ts,,,1967,,,
mp_312,Doreen Amule,National Resistance Movement,NRM,female,10,Woman Representative,,Amolatar,Lango,Northern,Rural,,,,,,,,,,,
mp_313,Elizabeth Karungi,National Resistance Movement,NRM,female,10,Woman Representative,,Kanungu,Kigezi,Western,Rural,Bachelors,,,,,,,1976,,,
mp_314,Esther Davinia Anyakun ,National Resistance Movement,NRM,female,10,Woman Representative,,Nakapiripirit,Karamoja,Nothern,Rural,,,,,https://www.facebook.com/esther.anyakun?fref=ts,,,,,,
mp_315,Esther Mbulakubuza Mbayo,National Resistance Movement,NRM,female,10,Woman Representative,,Luuka,Busoga,Eastern,Rural,,,,,,,,,,,
mp_316,Everlyn Chemutai,National Resistance Movement,NRM,female,10,Woman Representative,,Bukwo,Sebei,Eastern,Rural,,,,,,,,,,,
mp_317,Florence Namboozo Wamala,National Resistance Movement,NRM,female,10,Woman Representative,,Sironko,Bugisu,Eastern,Rural,,,,,,,,,,,
mp_318,Judith Franca Akello ,National Resistance Movement,NRM,female,10,Woman Representative,,Agago,Lango,Nothern,Rural,Masters,,,,https://www.facebook.com/akello.judithfranca?fref=ts,,,1978,,,
mp_319,Grace Kesande,National Resistance Movement,NRM,female,10,Woman Representative,,Rubirizi,Ankole,Western,Rural,,,,,,,,,,,
mp_320,Grace Freedom Kwnyucwiny,National Resistance Movement,NRM,female,10,Woman Representative,,Zombo,West Nile,Nothern,Rural,Masters,,,,https://www.facebook.com/kwiyucwiny.freedom?fref=ts,,,1962,,,
mp_321,Grace Hailat Kawudha Magumba,National Resistance Movement,NRM,female,10,Woman Representative,,Iganga,Busoga,Eastern,Rural,,,,,,,,,,,
mp_322,Hanifa Kawooya,National Resistance Movement,NRM,female,10,Woman Representative,,Sembabule,Buganda,Central,Rural,Masters ,,,,,,,1957,,,
mp_323,Hellen Adda,National Resistance Movement,NRM,female,10,Woman Representative,,Serere,Teso,Eastern,Rural,,,,,,,,,,,
mp_324,Hellen Kahunde,National Resistance Movement,NRM,female,10,Woman Representative,,Kiryadongo,Bunyoro,Western,Rural,Bachelors,,,https://twitter.com/HonKahunde,https://www.facebook.com/helen.kahunde,,,1982,,,
mp_325,Hope Robina Mukisa,National Resistance Movement,NRM,female,10,Woman Representative,,Namayingo,Busoga,Eastern,Rural,,,,,,,,,,,
mp_326,Jacklet Atuhaire,National Resistance Movement,NRM,female,10,Woman Representative,,Sheema,Ankole,Western,Rural,,,,,,,,,,,
mp_327,Jaqueline Rama Aol,National Resistance Movement,NRM,female,10,Woman Representative,,Nebbi,West Nile,Northern,Rural ,,,,,,,,,,,
mp_328,Jacqueline Amongin ,National Resistance Movement,NRM,female,10,Woman Representative,,Ngora,Teso,Eastern,Rural,Masters,,,https://twitter.com/AmonginJ,https://www.facebook.com/amongin.jacquiline,,,1982,,,
mp_329,Jalia Bintu Lukumu,National Resistance Movement,NRM,female,10,Woman Representative,,Masindi,Bunyoro,Western,Rural,Masters,,,,https://www.facebook.com/jaliabintu/?fref=ts,,,1967,,,
mp_330,Jane Kwoba Nabulindo,National Resistance Movement,NRM,female,10,Woman Representative,,Busia,Bukedi,Eastern,Rural,,,,,https://www.facebook.com/Hon-Nabulindo-Kwoba-Jane-537244276376927/?fref=ts,,,,,,
mp_331,Janet Grace Akech Okori-Moe,National Resistance Movement,NRM,female,10,Woman Representative,,Abim,Karamoja,Eastern,Rural,,,,,,,,,,,
mp_332,Janepher Nantume Egunyu ,National Resistance Movement,NRM,female,10,Woman Representative,,Buvuma,Buganda,Central,Rural,Bachelors,,,,,,,1978,,,
mp_333,Jenipher Kacha Namuyangu,National Resistance Movement,NRM,female,10,Woman Representative,,Kibuku,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_334,Jesca Ababiku,National Resistance Movement,NRM,female,10,Woman Representative,,Adjuman,West Nile,Northern,Rural,Bachelors,,,,,,,1975,,,
mp_335,Josephine Bebona Babungi,National Resistance Movement,NRM,female,10,Woman Representative,,Bundibugyo,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_336,Jovah Kamateka,National Resistance Movement,NRM,female,10,Woman Representative,,Mitooma ,Ankole,Western,Rural,Masters,,,,,,,1954,,,
mp_337,Jovrine Kaliisa,National Resistance Movement,NRM,female,10,Woman Representative,,Ibanda,Ankole,Western,Rural,,,,,https://www.facebook.com/Hon-Nabulindo-Kwoba-Jane-537244276376927/?fref=ts,,,,,,
mp_338,Joy Atim Ongom,National Resistance Movement,NRM,female,10,Woman Representative,,Lira,Lango,Nothern,Rural,Bachelors,,,https://twitter.com/JoyAtimOngom,https://www.facebook.com/joy.atimongom,,,1968,,,
mp_339,Joyce Moriku,National Resistance Movement,NRM,female,10,Woman Representative,,Moyo,West Nile,Nothern,Rural,,,,,,,,,,,
mp_340,Judith Alyek,National Resistance Movement,NRM,female,10,Woman Representative,,Kole,Lango,Nothern,Rural,,,,,,,,,,,
mp_341,Judith Babirye,National Resistance Movement,NRM,female,10,Woman Representative,,Buikwe,Buganda,Central,Rural,,,,https://twitter.com/JudithBabiyre,https://www.facebook.com/judithbabiryeug,,,,,,
mp_342,Judith Nabakooba,National Resistance Movement,NRM,female,10,Woman Representative,,Mityana,Buganda,Central,Rural,,,,,https://www.facebook.com/Judith-Nabakooba-716342981711396/?fref=ts,,,,,,
mp_343,Julie Zabwe Mukoda,National Resistance Movement,NRM,female,10,Woman Representative,,Mayuge,Busoga,Eastern,Rural,,,,,,,,,,,
mp_344,Juliet Kinyamatama Suubi,National Resistance Movement,NRM,female,10,Woman Representative,,Rakai,Buganda,Central,Rural,,,,,,,,,,,
mp_345,Jastine Kashaija Ayebazibwe,National Resistance Movement,NRM,female,10,Woman Representative,,Isingiro,Ankole,Western,Rural,,,,,,,,,,,
